Family,Genus,Species,Temp,Limit,Base,Temperature
Hydrophinnae,Aipysurus,Aip_poo,23.13,Upper,M_Surf,Mean
Hydrophinnae,Aipysurus,Aip_poo,17.61,Lower,M_Surf,Min
Hydrophinnae,Aipysurus,Aip_poo,20.83,Upper,M_Surf,Min
Hydrophinnae,Aipysurus,Aip_poo,18.465462,Lower,B_Bma,Min
Hydrophinnae,Aipysurus,Aip_poo,21.016456,Upper,B_Bma,Min
Hydrophinnae,Aipysurus,Aip_poo,18.340857,Lower,B_Bme,Min
Hydrophinnae,Aipysurus,Aip_poo,20.99042,Upper,B_Bme,Min
Hydrophinnae,Aipysurus,Aip_poo,18.344856,Lower,B_Bmi,Min
Hydrophinnae,Aipysurus,Aip_poo,20.96206,Upper,B_Bmi,Min
Hydrophinnae,Aipysurus,Aip_poo,18.140583,Lower,B_Surf,Min
Hydrophinnae,Aipysurus,Aip_poo,20.288412,Upper,B_Surf,Min
Hydrophinnae,Aipysurus,Aip_ten,27.844199,Lower,B_Bma,Max
Hydrophinnae,Aipysurus,Aip_ten,31.653776,Upper,B_Bma,Max
Hydrophinnae,Aipysurus,Aip_ten,28.847525,Lower,B_Bme,Max
Hydrophinnae,Aipysurus,Aip_ten,31.418772,Upper,B_Bme,Max
Hydrophinnae,Aipysurus,Aip_ten,29.152734,Lower,B_Bmi,Max
Hydrophinnae,Aipysurus,Aip_ten,31.418772,Upper,B_Bmi,Max
Hydrophinnae,Aipysurus,Aip_ten,30.661926,Lower,B_Surf,Max
Hydrophinnae,Aipysurus,Aip_ten,31.661812,Upper,B_Surf,Max
Hydrophinnae,Aipysurus,Aip_ten,28.95,Lower,M_Surf,Max
Hydrophinnae,Aipysurus,Aip_ten,30.46,Upper,M_Surf,Max
Hydrophinnae,Aipysurus,Aip_ten,25.24646378,Lower,B_Bma,Mean
Hydrophinnae,Aipysurus,Aip_ten,27.81619072,Upper,B_Bma,Mean
Hydrophinnae,Aipysurus,Aip_ten,25.51216507,Lower,B_Bme,Mean
Hydrophinnae,Aipysurus,Aip_ten,27.81655693,Upper,B_Bme,Mean
Hydrophinnae,Aipysurus,Aip_ten,25.51076508,Lower,B_Bmi,Mean
Hydrophinnae,Aipysurus,Aip_ten,27.85944939,Upper,B_Bmi,Mean
Hydrophinnae,Aipysurus,Aip_ten,26.58113098,Lower,B_Surf,Mean
Hydrophinnae,Aipysurus,Aip_ten,27.45266724,Upper,B_Surf,Mean
Hydrophinnae,Aipysurus,Aip_ten,26.3,Lower,M_Surf,Mean
Hydrophinnae,Aipysurus,Aip_ten,27.53,Upper,M_Surf,Mean
Hydrophinnae,Aipysurus,Aip_ten,22.21,Lower,M_Surf,Min
Hydrophinnae,Aipysurus,Aip_ten,24.06,Upper,M_Surf,Min
Hydrophinnae,Aipysurus,Aip_ten,22.635811,Lower,B_Bma,Min
Hydrophinnae,Aipysurus,Aip_ten,24.972281,Upper,B_Bma,Min
Hydrophinnae,Aipysurus,Aip_ten,22.689608,Lower,B_Bme,Min
Hydrophinnae,Aipysurus,Aip_ten,24.972759,Upper,B_Bme,Min
Hydrophinnae,Aipysurus,Aip_ten,22.689608,Lower,B_Bmi,Min
Hydrophinnae,Aipysurus,Aip_ten,24.134996,Upper,B_Bmi,Min
Hydrophinnae,Aipysurus,Aip_ten,21.680307,Lower,B_Surf,Min
Hydrophinnae,Aipysurus,Aip_ten,23.343967,Upper,B_Surf,Min
Hydrophinnae,Aspidomorphus,Asp_lin,2.66235,Lower,B_Bma,Max
Hydrophinnae,Aspidomorphus,Asp_lin,30.433021,Upper,B_Bma,Max
Hydrophinnae,Aspidomorphus,Asp_lin,17.466789,Lower,B_Bme,Max
Hydrophinnae,Aspidomorphus,Asp_lin,30.480688,Upper,B_Bme,Max
Hydrophinnae,Aspidomorphus,Asp_lin,29.933556,Lower,B_Bmi,Max
Hydrophinnae,Aspidomorphus,Asp_lin,30.192367,Upper,B_Bmi,Max
Hydrophinnae,Aspidomorphus,Asp_lin,29.827093,Lower,B_Surf,Max
Hydrophinnae,Aspidomorphus,Asp_lin,30.129253,Upper,B_Surf,Max
Hydrophinnae,Aspidomorphus,Asp_lin,27.86,Lower,M_Surf,Max
Hydrophinnae,Aspidomorphus,Asp_lin,29.32,Upper,M_Surf,Max
Hydrophinnae,Aspidomorphus,Asp_lin,2.561664104,Lower,B_Bma,Mean
Hydrophinnae,Aspidomorphus,Asp_lin,28.61844635,Upper,B_Bma,Mean
Hydrophinnae,Aspidomorphus,Asp_lin,16.4541378,Lower,B_Bme,Mean
Hydrophinnae,Aspidomorphus,Asp_lin,28.80413246,Upper,B_Bme,Mean
Hydrophinnae,Aspidomorphus,Asp_lin,27.98286819,Lower,B_Bmi,Mean
Hydrophinnae,Aspidomorphus,Asp_lin,28.81128311,Upper,B_Bmi,Mean
Hydrophinnae,Aspidomorphus,Asp_lin,28.12622261,Lower,B_Surf,Mean
Hydrophinnae,Aspidomorphus,Asp_lin,28.80187607,Upper,B_Surf,Mean
Hydrophinnae,Aspidomorphus,Asp_lin,27.53,Lower,M_Surf,Mean
Hydrophinnae,Aspidomorphus,Asp_lin,28.02,Upper,M_Surf,Mean
Hydrophinnae,Aspidomorphus,Asp_lin,24.76,Lower,M_Surf,Min
Hydrophinnae,Aspidomorphus,Asp_lin,26.68,Upper,M_Surf,Min
Hydrophinnae,Aspidomorphus,Asp_lin,2.466246,Lower,B_Bma,Min
Hydrophinnae,Aspidomorphus,Asp_lin,26.235125,Upper,B_Bma,Min
Hydrophinnae,Aspidomorphus,Asp_lin,15.49069,Lower,B_Bme,Min
Hydrophinnae,Aspidomorphus,Asp_lin,26.727889,Upper,B_Bme,Min
Hydrophinnae,Aspidomorphus,Asp_lin,25.334885,Lower,B_Bmi,Min
Hydrophinnae,Aspidomorphus,Asp_lin,26.730019,Upper,B_Bmi,Min
Hydrophinnae,Aspidomorphus,Asp_lin,26.093033,Lower,B_Surf,Min
Hydrophinnae,Aspidomorphus,Asp_lin,27.161732,Upper,B_Surf,Min
